,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
4,5,DIVISLAB,Divi's Laboratories Limited,532488,0.5,2787.0,91491,SELL OPEN=HIGH,14/02/2023 10:15:34
1,2,BANKNIFTY,BANKNIFTY,,-0.02,41272.5,0,SELL OPEN=HIGH,14/02/2023 10:15:34
6,7,HEROMOTOCO,Hero Motocorp Limited,500182,-0.27,2554.7,98487,SELL OPEN=HIGH,14/02/2023 10:15:34
9,10,INDIGO,Interglobe Aviation Limited,539448,-0.43,2039.65,138655,SELL OPEN=HIGH,14/02/2023 10:15:34
18,19,GMRINFRA,Gmr Infrastructure Limited,532754,-0.52,38.25,1827880,SELL OPEN=HIGH,14/02/2023 10:15:34
14,15,POWERGRID,Power Grid Corporation Of India Limited,532898,-0.53,214.85,1548324,SELL OPEN=HIGH,14/02/2023 10:15:34
15,16,NTPC,Ntpc Limited,532555,-0.6,166.85,2558992,SELL OPEN=HIGH,14/02/2023 10:15:34
0,1,MRF,Mrf Limited,500290,-0.64,88239.2,3398,SELL OPEN=HIGH,14/02/2023 10:15:34
12,13,SBIN,State Bank Of India,500112,-0.65,534.0,4100376,SELL OPEN=HIGH,14/02/2023 10:15:34
10,11,BERGEPAINT,Berger Paints (i) Limited,509480,-0.67,554.9,111549,SELL OPEN=HIGH,14/02/2023 10:15:34
8,9,PIDILITIND,Pidilite Industries Limited,500331,-0.71,2285.65,61590,SELL OPEN=HIGH,14/02/2023 10:15:34
11,12,AARTIIND,Aarti Industries Limited,524208,-0.72,535.9,430544,SELL OPEN=HIGH,14/02/2023 10:15:34
5,6,ASIANPAINT,Asian Paints Limited,500820,-0.81,2768.1,121054,SELL OPEN=HIGH,14/02/2023 10:15:34
3,4,SIEMENS,Siemens Limited,500550,-0.94,3100.1,73156,SELL OPEN=HIGH,14/02/2023 10:15:34
2,3,APOLLOHOSP,Apollo Hospitals Enterprise Limited,508869,-1.14,4309.0,119281,SELL OPEN=HIGH,14/02/2023 10:15:34
7,8,TITAN,Titan Company Limited,500114,-1.23,2488.1,166047,SELL OPEN=HIGH,14/02/2023 10:15:34
16,17,FEDERALBNK,The Federal Bank  Limited,500469,-1.46,128.5,2691593,SELL OPEN=HIGH,14/02/2023 10:15:34
17,18,RECLTD,Rural Electrification Corporation Limited,532955,-1.84,111.95,5849541,SELL OPEN=HIGH,14/02/2023 10:15:34
13,14,DLF,Dlf Limited,532868,-2.08,350.45,1331363,SELL OPEN=HIGH,14/02/2023 10:15:34
0,1,HDFCLIFE,HDFC Life Insurance Company Ltd,540777,-0.86,510.1,672670,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,14/02/2023 10:17:43
1,2,L&TFH,L&t Finance Holdings Limited,533519,-1.77,91.75,1748974,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,14/02/2023 10:17:43
0,1,FEDERALBNK,The Federal Bank  Limited,500469,-1.5,128.45,1682294,Mohan'S sure sell candidate -- MACD CROSS,14/02/2023 10:19:56
1,2,NMDC,Nmdc Limited,526371,-1.61,116.4,1355070,Mohan'S sure sell candidate -- MACD CROSS,14/02/2023 10:19:56
336,337,SUPREMEINF,Supreme Infrastructure India Limited,532904,0.0,21.0,904,Day Short Trade,14/02/2023 10:21:25
393,394,LCCINFOTEC,Lcc Infotech Limited,532019,0.0,2.0,19235,Day Short Trade,14/02/2023 10:21:25
391,392,INVENTURE,Inventure Growth & Securities Limited,533506,0.0,2.25,451246,Day Short Trade,14/02/2023 10:21:25
