nsecode,OccurInDiffScreeners
TATACHEM,35
THANGAMAYL,35
NV20,35
HEROMOTOCO,35
NIPPOBATRY,35
HDFCVALUE,35
MAHKTECH,34
CONCOR,34
HGS,34
HPAL,34
HDFCBSE500,34
KBCGLOBAL,34
GRINDWELL,34
TATACONSUM,34
BOSCHLTD,34
DELTACORP,34
CYBERTECH,34
BAJFINANCE,34
MANINFRA,34
STERTOOLS,34
REMSONSIND,34
DMART,34
FILATFASH,34
EQUITASBNK,34
BBNPPGOLD,34
BANKETF,34
AXISBANK,34
SKMEGGPROD,34
PTC,34
MAHSEAMLES,34
WEIZMANIND,34
JKCEMENT,34
GPIL,34
PAGEIND,34
BORORENEW,34
BHARATGEAR,34
DOLPHIN,33
MUKKA,33
MUTHOOTFIN,33
DIACABS,33
HBLPOWER,33
MASTEK,33
DECCANCE,33
DALBHARAT,33
IEX,33
BAJAJCON,33
PREMEXPLN,33
RBZJEWEL,33
AVTNPL,33
SILVERIETF,33
ASTRAL,33
SANGINITA,33
RADIANTCMS,33
VETO,33
PVP,33
YATHARTH,33
CESC,33
PSUBNKBEES,33
ACCELYA,33
JETAIRWAYS,33
VIKASECO,33
JAGRAN,33
PPAP,32
LAKPRE,32
MOMENTUM,32
IDFCFIRSTB,32
KKCL,32
NTPC,32
SHANTIGEAR,32
ALKEM,32
EQUAL50ADD,32
HCC,32
SILVERBEES,32
CDSL,32
AYMSYNTEX,32
GENCON,32
VIMTALABS,32
CREDITACC,32
SREEL,32
SPENCERS,32
GREENLAM,32
EICHERMOT,32
ANSALAPI,32
MPHASIS,32
BSLGOLDETF,32
IRMENERGY,32
CUMMINSIND,32
SANCO,32
APOLLOTYRE,32
COALINDIA,32
ZENTEC,32
FINEORG,32
PGHH,32
BHAGERIA,32
PRECOT,32
PIDILITIND,32
NATIONALUM,31
SYNCOMF,31
BSE,31
HINDWAREAP,31
GNA,31
LGBBROSLTD,31
TNIDETF,31
COLPAL,31
GULFOILLUB,31
MEGASTAR,31
KESORAMIND,31
LOVABLE,31
RAJESHEXPO,31
HSCL,31
LXCHEM,31
IKIO,31
ESABINDIA,31
CRAFTSMAN,31
IDFC,31
RATNAVEER,31
LOWVOL,31
JINDALPOLY,31
BBTCL,31
TATAINVEST,31
JSWSTEEL,31
ROSSARI,31
MAHESHWARI,31
PRUDENT,31
VIPIND,30
SAREGAMA,30
J&KBANK,30
RAMCOSYS,30
UMAEXPORTS,30
NMDC,30
ASHOKAMET,30
MANAKSIA,30
NAVINFLUOR,30
UNIVPHOTO,30
KCPSUGIND,30
RHIM,30
BALAMINES,30
RCOM,30
CUPID,30
UNICHEMLAB,30
PALASHSECU,30
TATATECH,30
UTKARSHBNK,30
PFC,30
HCLTECH,30
VHL,30
CUBEXTUB,30
LUXIND,30
PARAGMILK,30
SHOPERSTOP,30
CYIENT,30
TTKPRESTIG,30
SURYALAXMI,30
AKSHARCHEM,29
NUVOCO,29
AAREYDRUGS,29
VOLTAS,29
AKI,29
GMBREW,29
VSTIND,29
GILLETTE,29
ADANIPOWER,29
TCNSBRANDS,29
EXIDEIND,29
SHAILY,29
FCL,29
CHOLAFIN,29
BECTORFOOD,29
BARBEQUE,29
KRBL,29
BATAINDIA,29
METROPOLIS,29
KICL,29
TATSILV,29
SITINET,29
KTKBANK,29
LOWVOL1,29
GREAVESCOT,29
SALONA,29
EDELWEISS,29
WIPRO,29
ASPINWALL,29
AMJLAND,29
GOACARBON,29
MPSLTD,29
DIVISLAB,29
MAZDA,29
INFY,29
SHYAMTEL,28
BANARBEADS,28
MOSMALL250,28
JWL,28
JUBLPHARMA,28
KOTHARIPRO,28
ANMOL,28
MMFL,28
IBREALEST,28
MIDQ50ADD,28
VISAKAIND,28
ABB,28
LINCOLN,28
AMDIND,28
WSTCSTPAPR,28
RPSGVENT,28
MONTECARLO,28
HDFCLOWVOL,28
SECMARK,28
SAH,28
WEBELSOLAR,28
AXITA,28
YASHO,28
GHCL,28
ASIANTILES,28
AHL,28
HERANBA,28
BAIDFIN,28
SUNDARMFIN,28
SUVIDHAA,28
SENCO,28
COROMANDEL,28
INDORAMA,28
DIAMINESQ,28
E2E,28
SMALLCAP,28
ISFT,28
DMCC,28
NSIL,28
JIOFIN,28
CEATLTD,28
DCMFINSERV,28
PIGL,28
SPORTKING,28
SONATSOFTW,28
IRCTC,28
RAMCOCEM,28
FIEMIND,28
MAHLIFE,28
PETRONET,28
COFORGE,28
DSSL,28
ASHOKA,27
BLUEDART,27
NATCOPHARM,27
NAUKRI,27
AUROPHARMA,27
ASAHIINDIA,27
MIRZAINT,27
MAXHEALTH,27
OBCL,27
DBL,27
GULFPETRO,27
ABFRL,27
YAARI,27
MOMOMENTUM,27
AFFLE,27
SHAKTIPUMP,27
HDFCSML250,27
KIRIINDUS,27
UTISXN50,27
AKSHAR,27
HINDNATGLS,27
TTKHLTCARE,27
SEJALLTD,27
HCG,27
LEXUS,27
MCL,27
HAPPYFORGE,27
MAGNUM,27
MANORG,27
GMMPFAUDLR,27
DEEPENR,27
IGL,27
NHPC,27
VINDHYATEL,27
NIFMID150,27
NURECA,27
LLOYDSME,27
MANYAVAR,27
FSL,27
SUBROS,27
BANSWRAS,27
AWL,27
UNIPARTS,27
NIRAJ,27
MANGALAM,27
MARUTI,27
ICRA,27
MSUMI,26
AARTIDRUGS,26
CANFINHOME,26
MOTISONS,26
MTARTECH,26
STEELXIND,26
COUNCODOS,26
MMTC,26
SPECIALITY,26
LGBFORGE,26
GENUSPAPER,26
POLICYBZR,26
ZENITHSTL,26
IRISDOREME,26
DHANBANK,26
FIVESTAR,26
CEREBRAINT,26
TPLPLASTEH,26
LANDMARK,26
YESBANK,26
ACE,26
FINCABLES,26
RENUKA,26
SONAMLTD,26
DEEPAKFERT,26
SOLARINDS,26
CIEINDIA,26
KIMS,26
RGL,26
LAURUSLABS,26
SONACOMS,26
KRISHANA,26
NELCAST,26
RAJRATAN,26
SUNCLAY,26
IWEL,26
GLOBALVECT,26
IGPL,26
GLOSTERLTD,26
PLAZACABLE,26
AUTOIETF,26
BHEL,26
SYMPHONY,26
NESTLEIND,26
TVSELECT,26
SHANTI,26
INTLCONV,26
JMA,26
BHARATFORG,26
NACLIND,26
5PAISA,26
ARVSMART,26
ARTEMISMED,26
GLS,25
SARVESHWAR,25
XELPMOC,25
SUVEN,25
LATENTVIEW,25
SIYSIL,25
STYLAMIND,25
ABCAPITAL,25
JLHL,25
KAKATCEM,25
BIOCON,25
AARTISURF,25
KIRLOSENG,25
THERMAX,25
RAMCOIND,25
TAKE,25
DABUR,25
PSUBNKIETF,25
SARDAEN,25
JPOLYINVST,25
TATACOMM,25
MANOMAY,25
MAHSCOOTER,25
HIMATSEIDE,25
TORNTPOWER,25
SHREECEM,25
SETUINFRA,25
IDEAFORGE,25
BANKBARODA,25
MOQUALITY,25
GOLDIAM,25
CANBK,25
MEGASOFT,25
SCI,25
PNC,25
RKSWAMY,25
PATANJALI,25
OLECTRA,25
JAMNAAUTO,25
BEL,25
DPWIRES,25
MANKIND,25
DCBBANK,25
RHL,25
GANDHITUBE,25
BALUFORGE,25
INDNIPPON,25
HISARMETAL,25
SUNTV,25
ADANIENSOL,25
JSL,25
MEDICAMEQ,25
WORTH,25
PANAMAPET,25
MNC,24
VENUSPIPES,24
HITECHCORP,24
HONASA,24
PHOENIXLTD,24
HNDFDS,24
HINDCON,24
DANGEE,24
SUPERSPIN,24
MENONBE,24
UNIDT,24
PFS,24
ELGIEQUIP,24
JMFINANCIL,24
INDOBORAX,24
BIRLAMONEY,24
SIS,24
ERIS,24
NAZARA,24
EROSMEDIA,24
NDGL,24
RATEGAIN,24
NDTV,24
RATNAMANI,24
TVSSRICHAK,24
MAPMYINDIA,24
UDS,24
SIRCA,24
NIBL,24
GAYAHWS,24
VINYLINDIA,24
BAJAJHCARE,24
LOTUSEYE,24
NIITLTD,24
ASAL,24
GOODLUCK,24
PATINTLOG,24
JITFINFRA,24
KOHINOOR,24
AEROFLEX,24
HEADSUP,24
AIRAN,24
VERTOZ,24
CENTRALBK,24
DIGJAMLMTD,24
CELLO,24
GRAPHITE,24
DOLLAR,24
PAR,24
SBIETFCON,24
BURNPUR,24
INDIANB,24
EIHOTEL,24
BROOKS,24
WHIRLPOOL,24
BSHSL,24
IMAGICAA,23
KOTHARIPET,23
SWARAJENG,23
KIOCL,23
IGARASHI,23
JOCIL,23
MASKINVEST,23
THEINVEST,23
IITL,23
SVPGLOB,23
ENTERO,23
AETHER,23
CMSINFO,23
NEOGEN,23
ADVANIHOTR,23
ADVENZYMES,23
DCMSHRIRAM,23
BLISSGVS,23
UCOBANK,23
SMLISUZU,23
ASMS,23
RITES,23
GANECOS,23
FMNL,23
AJANTPHARM,23
UNIENTER,23
NIITMTS,23
FEDERALBNK,23
AKASH,23
FAIRCHEMOR,23
XPROINDIA,23
XCHANGING,23
RAMANEWS,23
ALPHAETF,23
WELSPUNLIV,23
AROGRANITE,23
SAPPHIRE,23
OSWALAGRO,23
PANACEABIO,23
WILLAMAGOR,23
DEN,23
PGIL,23
GOCOLORS,23
BAJAJHIND,23
RSWM,23
CHOLAHLDNG,23
CHEMCON,23
ZIMLAB,23
ROLTA,23
MINDACORP,23
TRACXN,23
HDFCQUAL,23
RUSHIL,23
BEARDSELL,23
HCL-INSYS,23
HATSUN,23
CHEVIOT,23
TRIDENT,23
ADANIGREEN,23
TNPETRO,23
ZODIACLOTH,23
3PLAND,23
SUNDRMFAST,23
BASF,23
MUTHOOTCAP,23
GRANULES,23
ADANIPORTS,23
RUPA,23
PYRAMID,23
SANGAMIND,22
ITDC,22
SARLAPOLY,22
CCL,22
SILVERTUC,22
TCIEXP,22
RADICO,22
SAIL,22
CTE,22
PLASTIBLEN,22
CSBBANK,22
PNB,22
JUSTDIAL,22
AUTOBEES,22
