Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,425475,1250,1,NATURALGAS,NATURALGAS23JAN24C360,23-JAN-2024,OPTFUT,CE,360,0.05,
MCX,425476,1250,1,NATURALGAS,NATURALGAS23JAN24C365,23-JAN-2024,OPTFUT,CE,365,0.05,
MCX,425477,1250,1,NATURALGAS,NATURALGAS23JAN24C370,23-JAN-2024,OPTFUT,CE,370,0.05,
MCX,425478,1250,1,NATURALGAS,NATURALGAS23JAN24C375,23-JAN-2024,OPTFUT,CE,375,0.05,
MCX,425479,1250,1,NATURALGAS,NATURALGAS23JAN24C380,23-JAN-2024,OPTFUT,CE,380,0.05,
MCX,425480,1250,1,NATURALGAS,NATURALGAS23JAN24P300,23-JAN-2024,OPTFUT,PE,300,0.05,
MCX,425481,1250,1,NATURALGAS,NATURALGAS23JAN24P295,23-JAN-2024,OPTFUT,PE,295,0.05,
MCX,425482,1250,1,NATURALGAS,NATURALGAS23JAN24P290,23-JAN-2024,OPTFUT,PE,290,0.05,
MCX,425483,1250,1,NATURALGAS,NATURALGAS23JAN24P285,23-JAN-2024,OPTFUT,PE,285,0.05,
MCX,425484,1250,1,NATURALGAS,NATURALGAS23JAN24P280,23-JAN-2024,OPTFUT,PE,280,0.05,
MCX,425485,1250,1,NATURALGAS,NATURALGAS23JAN24P275,23-JAN-2024,OPTFUT,PE,275,0.05,
MCX,425486,1250,1,NATURALGAS,NATURALGAS23JAN24P270,23-JAN-2024,OPTFUT,PE,270,0.05,
MCX,425487,1250,1,NATURALGAS,NATURALGAS23JAN24P265,23-JAN-2024,OPTFUT,PE,265,0.05,
MCX,425488,1250,1,NATURALGAS,NATURALGAS23JAN24P260,23-JAN-2024,OPTFUT,PE,260,0.05,
MCX,425489,1250,1,NATURALGAS,NATURALGAS23JAN24P255,23-JAN-2024,OPTFUT,PE,255,0.05,
MCX,425490,1250,1,NATURALGAS,NATURALGAS23JAN24P250,23-JAN-2024,OPTFUT,PE,250,0.05,
MCX,425491,1250,1,NATURALGAS,NATURALGAS23JAN24P245,23-JAN-2024,OPTFUT,PE,245,0.05,
MCX,425492,1250,1,NATURALGAS,NATURALGAS23JAN24P240,23-JAN-2024,OPTFUT,PE,240,0.05,
MCX,425493,1250,1,NATURALGAS,NATURALGAS23JAN24P235,23-JAN-2024,OPTFUT,PE,235,0.05,
MCX,425494,1250,1,NATURALGAS,NATURALGAS23JAN24P230,23-JAN-2024,OPTFUT,PE,230,0.05,
MCX,425495,1250,1,NATURALGAS,NATURALGAS23JAN24P310,23-JAN-2024,OPTFUT,PE,310,0.05,
MCX,425496,1250,1,NATURALGAS,NATURALGAS23JAN24P315,23-JAN-2024,OPTFUT,PE,315,0.05,
MCX,425497,1250,1,NATURALGAS,NATURALGAS23JAN24P320,23-JAN-2024,OPTFUT,PE,320,0.05,
MCX,425498,1250,1,NATURALGAS,NATURALGAS23JAN24P325,23-JAN-2024,OPTFUT,PE,325,0.05,
MCX,425499,1250,1,NATURALGAS,NATURALGAS23JAN24P330,23-JAN-2024,OPTFUT,PE,330,0.05,
MCX,425500,1250,1,NATURALGAS,NATURALGAS23JAN24P335,23-JAN-2024,OPTFUT,PE,335,0.05,
MCX,425501,1250,1,NATURALGAS,NATURALGAS23JAN24P340,23-JAN-2024,OPTFUT,PE,340,0.05,
MCX,425502,1250,1,NATURALGAS,NATURALGAS23JAN24P345,23-JAN-2024,OPTFUT,PE,345,0.05,
