Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,EMBASSY,542602,E,Embassy Office Parks REIT,Embassy Office Parks REIT,1,0.01,EMBASSY
BSE,bse_cm,CHANDNIMACH,542627,E,Chandni Machines Limited,Chandni Machines Limited,1,0.05,CHANDNIMACH
BSE,bse_cm,NSL,542628,E,Northern Spirits Limited,Northern Spirits Limited,1000,0.05,NSL
BSE,bse_cm,RSDFSC50GR,542637,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC50GR
BSE,bse_cm,RSDFSC50DR,542638,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC50DR
BSE,bse_cm,RSDFSC50GD,542639,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC50GD
BSE,bse_cm,RSDFSC50DD,542640,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC50DD
BSE,bse_cm,RVNL,542649,E,Rail Vikas Nigam Limited,Rail Vikas Nigam Limited,1,0.05,RVNL
BSE,bse_cm,METROPOLIS,542650,E,Metropolis Healthcare Limited,Metropolis Healthcare Limited,1,0.05,METROPOLIS
BSE,bse_cm,KPITTECH,542651,E,KPIT Technologies Ltd,KPIT Technologies Ltd,1,0.05,KPITTECH
BSE,bse_cm,POLYCAB,542652,E,Polycab India Limited,Polycab India Limited,1,0.05,POLYCAB
BSE,bse_cm,VRFILMS,542654,E,V R FILMS & STUDIOS LIMITED,V R FILMS & STUDIOS LIMITED,250,0.05,VRFILMS
BSE,bse_cm,VIKASLIFE,542655,E,VIKAS LIFECARE LIMITED,VIKAS LIFECARE LIMITED,1,0.01,VIKASLIFE
BSE,bse_cm,NXLI8X,542661,E,Reliance Mutual Fund,Reliance Mutual Fund,1,0.01,NXLI8X
BSE,bse_cm,NXLI8Z,542662,E,Reliance Mutual Fund,Reliance Mutual Fund,1,0.01,NXLI8Z
BSE,bse_cm,NXLI8D,542663,E,Reliance Mutual Fund,Reliance Mutual Fund,1,0.01,NXLI8D
BSE,bse_cm,NXLI8G,542664,E,Reliance Mutual Fund,Reliance Mutual Fund,1,0.01,NXLI8G
BSE,bse_cm,NEOGEN,542665,E,Neogen Chemicals Limited,Neogen Chemicals Limited,1,0.05,NEOGEN
BSE,bse_cm,GKP,542666,E,G. K. P. Printing & Packaging ,G. K. P. Printing & Packaging ,1,0.05,GKP
BSE,bse_cm,WORL,542667,E,White Organic Retail Limited,White Organic Retail Limited,1,0.05,WORL
BSE,bse_cm,EVANS,542668,E,EVANS ELECTRIC LIMITED,EVANS ELECTRIC LIMITED,500,0.05,EVANS
BSE,bse_cm,BMW,542669,E,BMW INDUSTRIES LIMITED,BMW INDUSTRIES LIMITED,1,0.05,BMW
BSE,bse_cm,AEPL,542670,E,Artemis Electricals and Projec,Artemis Electricals and Projec,1,0.05,AEPL
BSE,bse_cm,MAHESH,542677,E,Mahesh Developers Limited,Mahesh Developers Limited,1,0.05,MAHESH
BSE,bse_cm,CHCL,542678,E,Cian Healthcare Limited,Cian Healthcare Limited,2000,0.05,CHCL
BSE,bse_cm,DEL,542679,E,Dhanashree Electronics Limited,Dhanashree Electronics Limited,1,0.05,DEL
BSE,bse_cm,SCPOFA3GR,542680,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA3GR
BSE,bse_cm,SCPOFA3GD,542681,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA3GD
BSE,bse_cm,HARISH,542682,E,Harish Textile Engineers Limit,Harish Textile Engineers Limit,1,0.05,HARISH
BSE,bse_cm,PPL,542684,E,Prakash Pipes Limited,Prakash Pipes Limited,1,0.05,PPL
BSE,bse_cm,DGCONTENT,542685,E,Digicontent Limited,Digicontent Limited,1,0.05,DGCONTENT
BSE,bse_cm,PARSHVA,542694,E,Parshva Enterprises Limited,Parshva Enterprises Limited,1,0.05,PARSHVA
BSE,bse_cm,ARL,542721,E,Anand Rayons Limited,Anand Rayons Limited,1,0.05,ARL
BSE,bse_cm,SCPOFA4GR,542722,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA4GR
BSE,bse_cm,SCPOFA4GD,542723,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA4GD
BSE,bse_cm,EARUM,542724,E,Earum Pharmaceuticals Limited,Earum Pharmaceuticals Limited,1,0.01,EARUM
BSE,bse_cm,SBC,542725,E,SBC EXPORTS LIMITED,SBC EXPORTS LIMITED,1,0.05,SBC
BSE,bse_cm,INDIAMART,542726,E,IndiaMART InterMESH Limited,IndiaMART InterMESH Limited,1,0.05,INDIAMART
BSE,bse_cm,CPML,542727,E,City Pulse Multiplex Limited,City Pulse Multiplex Limited,2000,0.05,CPML
BSE,bse_cm,SKIEL,542728,E,SK International Export Limite,SK International Export Limite,6000,0.01,SKIEL
BSE,bse_cm,DCMNVL,542729,E,DCM NOUVELLE LIMITED,DCM NOUVELLE LIMITED,1,0.05,DCMNVL
BSE,bse_cm,ICICIBANKN,542730,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,ICICIBANKN
BSE,bse_cm,SNXT50BEES,542747,E,NIPPON INDIA ETF SENSEX NEXT 5,NIPPON INDIA ETF SENSEX NEXT 5,1,0.01,SNXT50BEES
BSE,bse_cm,RSDFSC14GR,542748,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC14GR
BSE,bse_cm,RSDFSC14DR,542749,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC14DR
BSE,bse_cm,RSDFSC14GD,542750,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC14GD
BSE,bse_cm,RSDFSC14DD,542751,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,RSDFSC14DD
BSE,bse_cm,AFFLE,542752,E,Affle (India) Limited,Affle (India) Limited,1,0.05,AFFLE
BSE,bse_cm,SEACOAST,542753,E,SEACOAST SHIPPING SERVICES LIM,SEACOAST SHIPPING SERVICES LIM,1,0.01,SEACOAST
BSE,bse_cm,ICICIBANKP,542758,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,ICICIBANKP
BSE,bse_cm,SPANDANA,542759,E,Spandana Sphoorty Financial Li,Spandana Sphoorty Financial Li,1,0.05,SPANDANA
BSE,bse_cm,SWSOLAR,542760,E,STERLING AND WILSON RENEWABLE ,STERLING AND WILSON RENEWABLE ,1,0.05,SWSOLAR
BSE,bse_cm,TRANSPACT,542765,E,Transpact Enterprises Limited,Transpact Enterprises Limited,1000,0.05,TRANSPACT
BSE,bse_cm,ALPHALOGIC,542770,E,Alphalogic Techsys Limited,Alphalogic Techsys Limited,1,0.05,ALPHALOGIC
