id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
3867,CDS,cde_fo,GBPINR,5980,OPTCUR,CE,99.25,GBPINR27DECEMBER2399.25CE,GBPINR23DEC99.25CE,GBPINR 27DEC23 99.25 CE,27-12-2023,1,0.0025
3868,CDS,cde_fo,GBPINR,5981,OPTCUR,CE,97.5,GBPINR03FEBRUARY2397.5CE,GBPINR2320397.5CE,GBPINR 03FEB23 97.5 CE,03-02-2023,1,0.0025
3869,CDS,cde_fo,GBPINR,5982,OPTCUR,PE,97.5,GBPINR03FEBRUARY2397.5PE,GBPINR2320397.5PE,GBPINR 03FEB23 97.5 PE,03-02-2023,1,0.0025
3870,CDS,cde_fo,GBPINR,5983,OPTCUR,CE,97.75,GBPINR03FEBRUARY2397.75CE,GBPINR2320397.75CE,GBPINR 03FEB23 97.75 CE,03-02-2023,1,0.0025
3871,CDS,cde_fo,GBPINR,5984,OPTCUR,PE,97.75,GBPINR03FEBRUARY2397.75PE,GBPINR2320397.75PE,GBPINR 03FEB23 97.75 PE,03-02-2023,1,0.0025
3872,CDS,cde_fo,EURINR,5985,OPTCUR,CE,92.5,EURINR24FEBRUARY2392.5CE,EURINR23FEB92.5CE,EURINR 24FEB23 92.5 CE,24-02-2023,1,0.0025
3873,CDS,cde_fo,GBPINR,5986,OPTCUR,CE,98.5,GBPINR28MARCH2398.5CE,GBPINR23MAR98.5CE,GBPINR 28MAR23 98.5 CE,28-03-2023,1,0.0025
3874,CDS,cde_fo,GBPINR,5987,OPTCUR,PE,98.5,GBPINR28MARCH2398.5PE,GBPINR23MAR98.5PE,GBPINR 28MAR23 98.5 PE,28-03-2023,1,0.0025
3875,CDS,cde_fo,GBPINR,5988,OPTCUR,CE,98.75,GBPINR28MARCH2398.75CE,GBPINR23MAR98.75CE,GBPINR 28MAR23 98.75 CE,28-03-2023,1,0.0025
3876,CDS,cde_fo,GBPINR,5989,OPTCUR,PE,98.75,GBPINR28MARCH2398.75PE,GBPINR23MAR98.75PE,GBPINR 28MAR23 98.75 PE,28-03-2023,1,0.0025
