nsecode,OccurInDiffScreeners
ABMINTLLTD,10
BAJAJCON,10
NDLVENTURE,10
STAR,10
APOLLOPIPE,10
INDSWFTLTD,10
JISLDVREQS,10
INTLCONV,10
BEML,10
MENONBE,10
NAM-INDIA,10
RITES,10
ELECON,10
ALPHAETF,9
SOUTHWEST,9
TDPOWERSYS,9
ALPHA,9
AARTIDRUGS,9
RHL,9
SALZERELEC,9
MINDACORP,9
NAGREEKEXP,9
PALASHSECU,9
GEPIL,9
NUVOCO,9
AXISNIFTY,8
HEUBACHIND,8
JBCHEPHARM,8
IRCON,8
TBZ,8
AUTOBEES,8
AMJLAND,8
MOTOGENFIN,8
GOKULAGRO,8
PNC,8
GILT5YBEES,8
AMIORG,8
NCC,8
DCAL,8
BANKNIFTY1,8
NIFMID150,8
MICEL,8
DLINKINDIA,8
SCILAL,8
SCI,8
COMSYN,8
LICI,8
SARLAPOLY,8
ALEMBICLTD,8
ENIL,8
CENTRALBK,8
MANOMAY,8
KAYA,8
QNIFTY,8
PVTBANKADD,8
ICEMAKE,8
LIKHITHA,7
JUNIORBEES,7
APTUS,7
TIINDIA,7
BECTORFOOD,7
HONASA,7
EMIL,7
RELINFRA,7
ERIS,7
HDFCMID150,7
GVPTECH,7
RBA,7
ASAHIINDIA,6
MAHAPEXLTD,6
CONSUMBEES,6
MAZDOCK,6
PPL,6
GANECOS,6
IDFC,6
GICHSGFIN,6
JCHAC,6
HDFCVALUE,6
CREDITACC,6
ATUL,6
ASTRAZEN,6
FSC,6
