,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
17,18,INDIGO,Interglobe Aviation Limited,539448,0.75,1857.6,65439,PERFECT BEARISH,02/03/2023 09:55:34
11,12,DIXON,Dixon Technologies,540699,0.74,2951.5,139014,PERFECT BEARISH,02/03/2023 09:55:34
16,17,ASTRAL,Astral Poly Technik Limited,532830,0.47,1911.95,26339,PERFECT BEARISH,02/03/2023 09:55:34
4,5,ULTRACEMCO,Ultratech Cement Limited,532538,0.38,7301.8,27389,PERFECT BEARISH,02/03/2023 09:55:34
27,28,GODREJPROP,Godrej Properties Limited,533150,0.26,1122.2,37918,PERFECT BEARISH,02/03/2023 09:55:34
37,38,BERGEPAINT,Berger Paints (i) Limited,509480,0.22,581.95,76326,PERFECT BEARISH,02/03/2023 09:55:34
50,51,PFC,Power Finance Corporation Limited,532810,0.17,149.7,585806,PERFECT BEARISH,02/03/2023 09:55:34
40,41,MARICO,Marico Limited,531642,0.08,496.35,75275,PERFECT BEARISH,02/03/2023 09:55:34
32,33,ICICIBANK,Icici Bank Limited,532174,0.01,856.4,730126,PERFECT BEARISH,02/03/2023 09:55:34
31,32,OBEROIRLTY,Oberoi Realty Limited,533273,0.01,868.6,38356,PERFECT BEARISH,02/03/2023 09:55:34
24,25,METROPOLIS,Metropolis Healthcare Ltd,542650,-0.04,1328.85,25766,PERFECT BEARISH,02/03/2023 09:55:34
0,1,HONAUT,Honeywell Automation India Limited,517174,-0.06,35244.85,444,PERFECT BEARISH,02/03/2023 09:55:34
18,19,HDFCAMC,HDFC Asset Management Company Ltd,541729,-0.09,1807.7,63844,PERFECT BEARISH,02/03/2023 09:55:34
46,47,TATAPOWER,Tata Power Company Limited,500400,-0.1,204.35,872991,PERFECT BEARISH,02/03/2023 09:55:34
44,45,DLF,Dlf Limited,532868,-0.13,355.2,364764,PERFECT BEARISH,02/03/2023 09:55:34
36,37,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,-0.13,610.55,143997,PERFECT BEARISH,02/03/2023 09:55:34
8,9,NAVINFLUOR,Navin Fluorine International Limited,532504,-0.14,4203.45,9312,PERFECT BEARISH,02/03/2023 09:55:34
21,22,HDFCBANK,Hdfc Bank Limited,500180,-0.14,1595.85,783844,PERFECT BEARISH,02/03/2023 09:55:34
14,15,SRF,Srf Limited,503806,-0.19,2231.3,49365,PERFECT BEARISH,02/03/2023 09:55:34
6,7,INDIAMART,Indiamart Intermesh Ltd,542726,-0.19,4941.95,15380,PERFECT BEARISH,02/03/2023 09:55:34
15,16,BALKRISIND,Balkrishna Industries Limited,502355,-0.2,2046.95,21564,PERFECT BEARISH,02/03/2023 09:55:34
28,29,INDUSINDBK,Indusind Bank Limited,532187,-0.2,1098.3,195222,PERFECT BEARISH,02/03/2023 09:55:34
20,21,CUMMINSIND,Cummins India Limited,500480,-0.25,1598.5,97319,PERFECT BEARISH,02/03/2023 09:55:34
39,40,SBIN,State Bank Of India,500112,-0.26,535.3,2248211,PERFECT BEARISH,02/03/2023 09:55:34
48,49,BANKBARODA,Bank Of Baroda,532134,-0.27,163.95,3058918,PERFECT BEARISH,02/03/2023 09:55:34
13,14,HDFC,Housing Development Finance Corporation Limited,500010,-0.34,2609.4,240937,PERFECT BEARISH,02/03/2023 09:55:34
49,50,RBLBANK,Rbl Bank Limited,540065,-0.34,160.5,963349,PERFECT BEARISH,02/03/2023 09:55:34
35,36,SBICARD,SBI Cards & Payment Services Ltd,543066,-0.37,748.95,31204,PERFECT BEARISH,02/03/2023 09:55:34
10,11,POLYCAB,Polycab India Ltd,542652,-0.4,3103.45,58471,PERFECT BEARISH,02/03/2023 09:55:34
47,48,ZEEL,Zee Entertainment Enterprises Limited,505537,-0.43,198.4,909096,PERFECT BEARISH,02/03/2023 09:55:34
2,3,NIFTY,NIFTY,,-0.45,17372.45,0,PERFECT BEARISH,02/03/2023 09:55:34
19,20,KOTAKBANK,Kotak Mahindra Bank Limited,500247,-0.46,1736.8,198872,PERFECT BEARISH,02/03/2023 09:55:34
30,31,TATACHEM,Tata Chemicals Limited,500770,-0.52,989.35,92803,PERFECT BEARISH,02/03/2023 09:55:34
