,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,1,PETRONET,Petronet Lng Limited,532522,3.58,237.3,3162430,BULLISH FOR NEXT DAY,15/03/2023 14:12:53
115,116,LAGNAM,Lagnam Spintex Ltd,535108,12.94,57.15,244985,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
91,92,KOPRAN,Kopran Limited,524280,12.75,116.25,1895484,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
168,169,VISESHINFO,Visesh Infotecnics Limited,532411,11.11,0.5,5210447,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
121,122,AROGRANITE,Aro Granite Industries Limited,513729,10.61,44.3,334106,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
167,168,ANTGRAPHIC,Antarctica Limited,526715,8.33,0.65,355637,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
146,147,MANUGRAPH,Manugraph India Limited,505324,7.67,18.25,413085,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
52,53,RKFORGE,Ramkrishna Forgings Limited,532527,7.16,284.5,3420143,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
150,151,ONEPOINT,One Point One Solutions Ltd,535039,6.98,16.85,2954079,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
16,17,GRINFRA,G R Infraprojects Ltd,543317,5.81,1053.85,60646,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
36,37,JPOLYINVST,Jindal Poly Investment And Finance Company Limited,536773,4.99,458.6,3085,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
38,39,KPIGREEN,KPI Green Energy Ltd,542323,4.32,446.25,182548,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
164,165,SUVIDHAA,Suvidhaa Infoserve Ltd,543281,4.11,3.8,201365,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
163,164,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,532925,3.8,4.1,19230,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
72,73,BLS,Bls International Services Limited,540073,3.69,161.65,3051004,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
71,72,STLTECH,Sterlite Technologies Limited,532374,3.39,164.5,424153,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
0,1,PAGEIND,Page Industries Limited,532827,2.82,37311.4,16074,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
77,78,SAKSOFT,Saksoft Limited,590051,2.62,150.85,750299,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
23,24,FINCABLES,Finolex Cables Limited,500144,2.51,772.4,686158,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
10,11,PVR,Pvr Limited,532689,2.42,1564.85,533108,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
144,145,VISHAL,Vishal Fabrics Ltd,538598,2.38,19.35,197208,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
162,163,A2ZINFRA,A2z Infra Engineering Limited,533292,2.29,6.7,159997,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
132,133,SEYAIND,Seya Industries Ltd,524324,2.21,27.7,25626,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
119,120,CTE,Cambridge Technology Enterprises Limited,532801,2.2,51.05,10638,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
157,158,PATINTLOG,Patel Integrated Logistics Limited,526381,2.09,12.2,145750,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
51,52,PNCINFRA,Pnc Infratech Limited,539150,1.91,290.2,958234,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
111,112,INTENTECH,Intense Technologies Ltd,532326,1.87,62.8,17717,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
27,28,SHOPERSTOP,Shoppers Stop Limited,532638,1.63,637.8,13177,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
6,7,LT,Larsen & Toubro Limited,500510,1.59,2178.25,2651050,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
42,43,KIRLOSBROS,Kirloskar Brothers Limited,500241,1.55,383.1,64827,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
61,62,BIOCON,Biocon Limited,532523,1.54,221.15,1969877,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
65,66,VERTOZ,Vertoz Advertising Ltd,535029,1.39,211.3,159255,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
3,4,SOLARINDS,Solar Industries India Limited,532725,1.38,3799.5,17777,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
47,48,BOROLTD,Borosil Ltd,543212,1.38,320.05,16583,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
131,132,CUBEXTUB,Cubex Tubings Limited,526027,1.37,29.5,10525,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
24,25,JSWSTEEL,Jsw Steel Limited,500228,1.36,681.2,873869,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
74,75,PLASTIBLEN,Plastiblends India Limited,523648,1.32,156.8,10156,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
156,157,ONELIFECAP,Onelife Capital Advisors Limited,533632,1.23,12.35,23459,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
104,105,VETO,Veto Switchgears And Cables Limited,539331,1.19,85.0,38087,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
124,125,SIGIND,Signet Industries Ltd,512131,1.11,36.5,61358,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
46,47,VIDHIING,Vidhi Specialty Food Ingredients,531717,0.93,330.5,17979,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
152,153,SBC,SBC Exports Ltd,542725,0.92,16.4,2108328,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
28,29,DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,500645,0.85,607.45,151904,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
136,137,MAHABANK,Bank Of Maharashtra,532525,0.81,25.0,6789146,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
114,115,ICICIB22,Bharat 22 ETF,540787,0.73,58.99,328149,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
128,129,MOM100,Motilal Oswal Midcap 100 ETF,536960,0.72,32.06,432907,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
1,2,PGHL,Procter & Gamble Health Ltd,500126,0.7,4915.0,5447,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
123,124,ABAN,Aban Offshore Limited,523204,0.66,38.15,80456,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
159,160,KRITIKA,Kritika Wires Ltd,535116,0.62,8.15,104408,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
5,6,DYNAMATECH,Dynamatic Technologies Limited,505242,0.53,2632.6,5011,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
99,100,SURYODAY,Suryoday Small Finance Bank Ltd,543279,0.52,96.1,307003,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
118,119,GOLDTECH,Goldstone Technologies Limited,531439,0.48,52.2,19354,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
103,104,V2RETAIL,V2 Retail Limited,532867,0.47,85.3,7100,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
158,159,IFCI,Ifci Limited,500106,0.47,10.6,2273896,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
117,118,SURYALAXMI,Suryalakshmi Cotton Mills Limited,521200,0.47,53.1,11796,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
127,128,SNOWMAN,Snowman Logistics Limited,538635,0.46,32.55,203277,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
116,117,AXITA,Axita Cotton Ltd,542285,0.44,56.65,210821,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
108,109,WELSPUNIND,Welspun India Limited,514162,0.37,67.15,769270,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
109,110,WATERBASE,Waterbase Ltd,523660,0.37,67.0,7227,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
69,70,MAANALU,Maan Aluminium Limited,532906,0.37,191.9,14184,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
25,26,PSPPROJECT,PSP Projects,540544,0.35,665.3,33099,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
4,5,TVSSRICHAK,Tvs Srichakra Limited,509243,0.33,2665.1,2333,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
18,19,AMIORG,Ami Organics Ltd,543349,0.33,917.25,29030,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
126,127,COFFEEDAY,Coffee Day Enterprises Limited,539436,0.31,32.75,1076902,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
125,126,ARENTERP,Rajdarshan Industries Ltd,526662,0.3,32.9,1223,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
43,44,ACE,Action Construction Equipment Limited,532762,0.29,376.5,290492,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
19,20,SANDESH,The Sandesh Limited,526725,0.29,836.5,475,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
147,148,SURANASOL,Surana Solar Limited,533298,0.28,18.0,28750,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
83,84,PALREDTEC,Palred Technologies Limited,532521,0.25,137.65,11367,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
137,138,UCOBANK,Uco Bank,532505,0.2,24.85,5471637,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
82,83,KTKBANK,The Karnataka Bank Limited,532652,0.18,139.8,549696,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
110,111,HFCL,Himachal Futuristic Communications Limited,500183,0.16,63.75,1952921,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
21,22,GLOBUSSPR,Globus Spirits Limited,533104,0.15,816.55,130844,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
37,38,BORORENEW,Borosil Renewables Ltd,502219,0.15,448.0,87891,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
79,80,DEVYANI,Devyani International Ltd,543330,0.14,146.2,330257,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
40,41,CAMPUS,Campus Activewear Ltd,543523,0.14,391.75,126853,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
62,63,RAMCOSYS,Ramco Systems Limited,532370,0.07,219.7,35629,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
68,69,HERCULES,Hercules Hoists Limited,505720,0.03,196.3,15422,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
34,35,AARTIIND,Aarti Industries Limited,524208,0.0,519.8,193759,MACD Bearish or Bullish crossover,15/03/2023 14:13:07
