,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
32,33,OLECTRA,Olectra Greentech Ltd,532439,19.8,481.95,7842424,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
35,36,MAHINDCIE,Mahindra Cie Automotive Limited,532756,16.97,453.3,9860913,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
75,76,SKIPPER,Skipper Limited,538562,14.41,104.8,1600050,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
92,93,IBREALEST,Indiabulls Real Estate Limited,532832,14.26,60.5,36650767,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
72,73,RELINFRA,Reliance Infrastructure Limited,500390,9.84,127.2,3394623,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
36,37,CAMPUS,Campus Activewear Ltd,543523,8.37,407.35,2497752,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
123,124,DISHTV,Dish Tv India Limited,532839,7.35,14.6,8054464,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
108,109,RSSOFTWARE,R. S. Software (india) Limited,517447,5.25,26.05,270866,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
130,131,JYOTISTRUC,Jyoti Structures Limited,513250,5.0,7.35,706308,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
86,87,PRESSMN,Pressman Advertising Limited,509077,4.99,68.35,26048,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
107,108,EROSMEDIA,Eros International Media Limited,533261,4.95,28.65,436460,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
134,135,GAYAPROJ,Gayatri Projects Limited,532767,4.92,6.4,270465,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
85,86,ZIMLAB,Zim Laboratories Ltd,541400,4.92,77.85,11387,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
111,112,PCJEWELLER,Pc Jeweller Limited,534809,4.89,24.65,7998249,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
137,138,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,532925,4.82,4.35,25499,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
128,129,ALOKINDS,Alok Industries Ltd,521070,4.72,12.2,1070900,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
140,141,UJAAS,Ujaas Energy Limited,533644,4.55,2.3,70297,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
139,140,MELSTAR,Melstar Information Technologies Limited,532307,4.35,2.4,500,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
60,61,VERTOZ,Vertoz Advertising Ltd,535029,3.8,216.0,43679,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
109,110,BLBLIMITED,Blb Limited,532290,3.6,25.9,137231,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
104,105,CROWN,Crown Lifters Ltd,538371,3.24,35.0,545,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
74,75,STARCEMENT,Star Cement Ltd,540575,3.19,113.25,289123,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
67,68,GEECEE,Geecee Ventures Limited,532764,3.05,145.4,28797,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
136,137,NEXTMEDIA,Next Mediaworks Limited,532416,2.91,5.3,2218,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
28,29,XPROINDIA,Xpro India Limited,590013,2.76,570.05,10585,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
14,15,SARDAEN,Sarda Energy & Minerals Limited,504614,2.46,1122.95,39455,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
93,94,ADL,Archidply Decor Ltd,543231,2.42,59.3,143,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
42,43,EVEREADY,Eveready Industries India Limited,531508,2.23,318.9,26102,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
94,95,ARCHIDPLY,Archidply Industries Limited,532994,2.2,57.95,28615,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
98,99,HBSL,HB Stockholdings Ltd,532216,1.85,46.75,85518,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
113,114,RANASUG,Rana Sugars Limited,507490,1.83,22.2,310641,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
121,122,VISHWARAJ,Vishwaraj Sugar Industries Ltd,542852,1.6,15.85,309149,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
91,92,ELECTHERM,Electrotherm (india) Limited,526608,1.51,60.6,37815,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
133,134,NOIDATOLL,Noida Toll Bridge Company Limited,532481,1.45,7.0,74373,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
132,133,AAKASH,Aakash Exploration Services Ltd,535076,1.44,7.05,292526,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
2,3,BAJAJHLDNG,Bajaj Holdings & Investment Limited,500490,1.41,6105.25,21184,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
96,97,MARALOVER,Maral Overseas Limited,521018,1.35,52.5,4248,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
27,28,SUMMITSEC,Summit Securities Limited,533306,1.31,593.35,3051,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
46,47,RAMKY,Ramky Infrastructure Limited,533262,1.28,285.15,91632,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
40,41,KIRLOSBROS,Kirloskar Brothers Limited,500241,1.17,360.35,113782,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
125,126,OILCOUNTUB,Oil Country Tubular Limited,500313,1.08,14.0,3749,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
59,60,COALINDIA,Coal India Limited,533278,1.07,217.2,5056375,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
62,63,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,500234,0.91,188.8,5663,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
114,115,INCREDIBLE,Incredible Industries Ltd,538365,0.71,21.25,6020,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
53,54,UTTAMSUGAR,Uttam Sugar Mills Limited,532729,0.7,250.0,38483,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
76,77,PRIMESECU,Prime Securities Limited,500337,0.66,99.8,40279,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
80,81,MUNJALSHOW,Munjal Showa Limited,520043,0.66,91.45,14020,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
1,2,BAJFINANCE,Bajaj Finance Limited,500034,0.64,6241.9,602041,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
99,100,KHAITANLTD,Khaitan (india) Limited,590068,0.55,45.45,424,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
34,35,COCHINSHIP,Cochin Shipyard,540678,0.48,463.6,278321,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
19,20,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,506618,0.44,893.65,15720,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
37,38,SUKHJITS,Sukhjit Starch & Chemicals Ltd,524542,0.25,400.9,1943,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
25,26,MAZDOCK,Mazagon Dock Shipbuilders Ltd,543237,0.22,712.55,715643,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
79,80,ICICIMCAP,ICICI Prudential Midcap Select ETF,539980,0.21,93.87,5177,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
13,14,EBBETF0430,Bharat Bond ETF - April 2030,542909,0.08,1241.19,5915,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
52,53,PODDARMENT,Poddar Pigments Limited,524570,0.07,267.25,1515,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
7,8,APARINDS,Apar Industries Limited,532259,0.07,2262.6,81746,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
112,113,LICNETFGSC,LIC Nomura MF G-Sec Long Term ETF,532530,0.04,22.8,5036,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
84,85,GIPCL,Gujarat Industries Power Company Limited,517300,0.0,78.95,90930,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
110,111,LASA,Lasa Supergenerics Ltd,540702,0.0,24.8,179424,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
17,18,LIQUIDETF,DSP BlackRock Liquid ETF,541097,0.0,1000.0,36342,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
138,139,GAL,Gyscoal Alloys Limited,533275,0.0,2.75,616820,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
105,106,DHANI,Dhani Services Ltd,532960,0.0,31.65,1584257,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
0,1,WENDT,Wendt (india) Limited,505412,-0.06,8500.0,185,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
50,51,TRIVENI,Triveni Engineering & Industries Limited,532356,-0.06,271.0,125450,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
117,118,ICICIMOM30,ICICI Prudential Nifty 200 Momentum 30 ETF,543568,-0.17,18.14,130266,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
30,31,SOMANYCERA,Somany Ceramics Limited,531548,-0.21,549.75,74111,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
115,116,MCLEODRUSS,Mcleod Russel India Limited,532654,-0.25,19.8,119162,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
68,69,JAYBARMARU,Jay Bharat Maruti Limited,520066,-0.31,142.45,8655,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
78,79,MOL,Meghmani Organics Ltd,543331,-0.32,94.0,299510,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
18,19,ETHOSLTD,Ethos Ltd,543532,-0.37,989.05,21490,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
16,17,GOODYEAR,Goodyear India Ltd,500168,-0.38,1040.0,5165,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
45,46,IOLCP,Iol Chemicals And Pharmaceuticals Limited,524164,-0.4,302.05,80979,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
6,7,VSTTILLERS,V.s.t Tillers Tractors Limited,531266,-0.43,2266.5,6934,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
66,67,CLSEL,Chamanlal Setia Exports Ltd,530307,-0.47,157.25,156820,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
106,107,TV18BRDCST,Tv18 Broadcast Limited,532800,-0.48,31.15,3489604,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
21,22,AETHER,Aether Industries Ltd,543534,-0.48,876.5,20856,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
38,39,ABSLAMC,Aditya Birla Sun Life AMC Ltd,543374,-0.5,388.35,53401,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
118,119,MOMENTUM,MOMENTUM,,-0.61,17.89,483,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
10,11,AMBIKCO,Ambika Cotton Mills Limited,531978,-0.65,1464.4,5092,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
71,72,HDFCLOWVOL,HDFC Nifty 100 Low Volatility 30 ETF,543627,-0.67,132.45,938,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
48,49,HCG,Healthcare Global Enterprises Limited,539787,-0.7,278.0,87070,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
61,62,SPARC,Sun Pharma Advanced Research Company Limited,532872,-0.71,189.45,1083716,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
51,52,FORTIS,Fortis Healthcare Limited,532843,-0.72,270.65,258506,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
82,83,TNPETRO,Tamilnadu Petroproducts Limited,500777,-0.78,82.2,35119,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
8,9,DALBHARAT,Dalmia Bharat Limited,533309,-0.78,1880.15,383963,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
102,103,GMRINFRA,Gmr Infrastructure Limited,532754,-0.8,37.2,4123268,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
70,71,SMARTLINK,Smartlink Network Systems Limited,532419,-0.8,136.75,3631,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
22,23,BHARTIARTL,Bharti Airtel Limited,532454,-0.81,756.75,4302255,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
103,104,MOMOMENTUM,Motilal Oswal Nifty 200 Momentum 30 ETF,543465,-0.85,35.98,10914,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
12,13,BEML,Beml Limited,500048,-0.86,1356.5,36877,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
120,121,INFIBEAM,Infibeam Incorporation Limited,539807,-0.9,16.5,67013353,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
20,21,SASKEN,Sasken Communication Technologies Limited,532663,-0.97,892.75,4837,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
4,5,EICHERMOT,Eicher Motors Limited,505200,-0.98,3210.2,666476,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
116,117,VISHAL,Vishal Fabrics Ltd,538598,-1.02,19.4,74950,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
55,56,OIL,Oil India Limited,533106,-1.16,242.95,868872,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
65,66,PRITI,Priti International Ltd,535089,-1.16,158.0,8312,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
69,70,BANSWRAS,Banswara Syntex Limited,503722,-1.16,136.85,138722,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
101,102,MARINE,Marine Electricals (India) Ltd,535119,-1.19,37.4,82121,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
100,101,HUBTOWN,Hubtown Limited,532799,-1.23,40.0,55467,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
5,6,DYNAMATECH,Dynamatic Technologies Limited,505242,-1.3,2547.1,6927,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
11,12,CEATLTD,Ceat Limited,500878,-1.3,1458.25,27863,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
90,91,TREJHARA,Trejhara Solutions Ltd,542233,-1.33,63.0,16942,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
89,90,CORDSCABLE,Cords Cable Industries Limited,532941,-1.35,65.95,30885,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
41,42,IMFA,Indian Metals & Ferro Alloys Limited,533047,-1.36,319.45,63463,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
58,59,RAMCOSYS,Ramco Systems Limited,532370,-1.36,220.7,48772,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
131,132,PARSVNATH,Parsvnath Developers Limited,532780,-1.39,7.1,67705,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
47,48,5PAISA,5Paisa Capital Ltd,540776,-1.42,281.85,11838,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
3,4,ICRA,Icra Limited,532835,-1.46,4422.35,2886,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
87,88,MODIRUBBER,Modi Rubber Ltd,500890,-1.47,67.0,603,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
49,50,MUTHOOTCAP,Muthoot Capital Services Limited,511766,-1.48,272.5,12523,MACD Bearish or Bullish crossover,24/02/2023 15:30:31
