,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
12,13,HCC,Hindustan Construction Company Limited,500185,5.57,15.15,28223485,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
8,9,ASTRAMICRO,Astra Microwave Products Limited,532493,4.2,254.5,544999,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
9,10,JYOTHYLAB,Jyothy Laboratories Limited,532926,0.94,187.4,181147,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
3,4,TCPLPACK,TCPL Packaging Ltd,523301,0.84,1280.95,12914,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
10,11,NFL,National Fertilizers Limited,523630,0.78,70.7,5201578,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
7,8,CAMPUS,Campus Activewear Ltd,543523,0.42,392.5,230583,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
4,5,AJANTPHARM,Ajanta Pharma Limited,532331,-0.58,1213.0,40076,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
0,1,TATAELXSI,Tata Elxsi Limited,500408,-0.98,6070.65,207652,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
11,12,PPLPHARMA,Piramal Pharma Ltd,543635,-1.57,68.8,5291389,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
6,7,INDIAGLYCO,India Glycols Limited,500201,-1.97,575.05,47639,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
5,6,CANTABIL,Cantabil Retail India Limited,533267,-2.59,868.85,12844,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
2,3,VADILALIND,Vadilal Industries Limited,519156,-2.93,2240.0,14079,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
1,2,LINDEINDIA,Linde India Limited,523457,-5.0,3685.55,68452,Intraday Buying seen in the past 15 minutes,14/03/2023 15:16:49
0,1,BHARTIARTL,Bharti Airtel Limited,532454,0.88,772.05,3091506,BUY open equals to Low,14/03/2023 15:17:12
0,1,NMDC,Nmdc Limited,526371,1.88,116.6,13962813,JAVEED HUSSAIN INTRADAY BUY,14/03/2023 15:18:25
1,2,SCAPDVR,Stampede Capital Ltd-DVR,570005,4.72,13.3,2639809,Santu baba trick on open equal low with 1% higher than previous close,14/03/2023 15:18:45
0,1,LEMONTREE,Lemon Tree Hotels Ltd,541233,3.51,78.05,7125804,Santu baba trick on open equal low with 1% higher than previous close,14/03/2023 15:18:45
3,4,KILITCH,Kilitch Drugs (india) Limited,524500,16.07,147.0,102640,IntraDay Long:,14/03/2023 15:19:30
0,1,MCDOWELL-N,United Spirits Limited,532432,1.86,768.45,1858063,IntraDay Long:,14/03/2023 15:19:30
2,3,ARROWGREEN,Arrow Greentech Limited,516064,1.43,223.7,56485,IntraDay Long:,14/03/2023 15:19:30
5,6,MUKTAARTS,Mukta Arts Limited,532357,1.23,53.55,13969,IntraDay Long:,14/03/2023 15:19:30
1,2,JINDALPHOT,Jindal Photo Limited,532624,0.86,309.75,3837,IntraDay Long:,14/03/2023 15:19:30
